lrp,lat,lon,length,condition,structureNr,chainage,what,Delay
LRP423b,21.1297680981982,92.1870470012012,7.9,D,120493.0,426.915,bridge,"Random.Uniform(10,20)"
LRP423b,21.1297680981982,92.1870470012012,7.9,B,100823.0,426.915,bridge,"Random.Uniform(10,20)"
LRP423c,21.1290060819819,92.187903612012,1.2,A,100825.0,427.041,bridge,"Random.Uniform(10,20)"
LRP423d,21.1283226864864,92.1886718423423,1.2,A,100827.0,427.154,bridge,"Random.Uniform(10,20)"
LRP423e,21.1278570099099,92.1891953267267,1.2,B,100829.0,427.231,bridge,"Random.Uniform(10,20)"
LRP424,21.1761938,92.15661109999999,,,,419.18,roadpoint,0
LRP424a,21.125103688724,92.1913674700296,6.4,D,120498.0,427.622,bridge,"Random.Uniform(10,20)"
LRP424a,21.125103688724,92.1913674700296,6.4,A,100834.0,427.622,bridge,"Random.Uniform(10,20)"
LRP424b,21.1237604940298,92.1921588880597,3.35,A,100836.0,427.804,bridge,"Random.Uniform(10,20)"
LRP424c,21.1229108079646,92.1927223495575,13.0,C,100839.0,427.918,bridge,"Random.Uniform(15,60)"
LRP424d,21.169499300000002,92.1543056,,,,419.996,roadpoint,0
LRP424e,21.1225347168141,92.1929605601769,3.2,A,100842.0,427.969,bridge,"Random.Uniform(10,20)"
LRP424g,21.1215698917647,92.1935169658823,73.3,C,100845.0,428.095,bridge,"Random.Uniform(45,90)"
LRP424g,21.1215698917647,92.1935169658823,72.6,B,120505.0,428.095,bridge,"Random.Uniform(45,90)"
LRP425,21.1677216,92.1527778,,,,420.26099999999997,roadpoint,0
LRP425a,21.1184609383419,92.1962922290155,3.4,A,100846.0,428.578,bridge,"Random.Uniform(10,20)"
LRP425b,21.1159743461538,92.1970744923076,2.8,A,100789.0,428.89,bridge,"Random.Uniform(10,20)"
LRP425c,21.1145580496021,92.1980208315649,12.8,D,120507.0,429.081,bridge,"Random.Uniform(15,60)"
LRP425c,21.1145580496021,92.1980208315649,12.8,B,101095.0,429.081,bridge,"Random.Uniform(15,60)"
LRP425d,21.16325,92.15222220000001,,,,420.806,roadpoint,0
LRP425e,21.1118930148936,92.2005928021276,1.2,A,100784.0,429.491,bridge,"Random.Uniform(10,20)"
LRP425f,21.1604167,92.1525,,,,421.131,roadpoint,0
LRP426,21.1595,92.15261109999999,,,,421.23900000000003,roadpoint,0
LRP426a,21.1108101507936,92.2020956942857,1.2,A,100782.0,429.615,bridge,"Random.Uniform(10,20)"
LRP426b,21.1098838904761,92.2033796485714,1.2,A,100863.0,429.719,bridge,"Random.Uniform(10,20)"
LRP426c,21.108771344186,92.2048378697674,2.8,A,100851.0,429.912,bridge,"Random.Uniform(10,20)"
LRP426d,21.1083165348837,92.2053339813953,2.8,A,100852.0,430.072,bridge,"Random.Uniform(10,20)"
LRP426e,21.1078333,92.2061073045454,1.2,A,100849.0,430.287,bridge,"Random.Uniform(10,20)"
LRP427,21.150722199999997,92.1545,,,,422.315,roadpoint,0
LRP427a,21.1052944333333,92.20739816,1.2,C,100850.0,430.582,bridge,"Random.Uniform(10,20)"
LRP427b,21.1020295703488,92.2079394552325,34.2,A,100848.0,430.978,bridge,"Random.Uniform(15,60)"
LRP427b,21.1020295703488,92.2079394552325,34.2,C,120510.0,430.978,bridge,"Random.Uniform(15,60)"
LRP427c,21.1441663,92.1586944,,,,423.241,roadpoint,0
LRP427d,21.1005774145454,92.208578050909,3.0,A,100847.0,431.167,bridge,"Random.Uniform(10,20)"
LRP427e,21.0988710315789,92.2096579157894,1.2,A,100844.0,431.398,bridge,"Random.Uniform(10,20)"
LRP428,21.143527399999996,92.15897220000001,,,,423.32199999999995,roadpoint,0
LRP428a,21.0950312659147,92.2114600974937,2.7,A,100843.0,431.877,bridge,"Random.Uniform(10,20)"
LRP428b,21.0944452155388,92.2116762629072,2.7,A,100841.0,431.946,bridge,"Random.Uniform(10,20)"
LRP428c,21.0923827310126,92.2123111474683,4.2,A,100840.0,432.19,bridge,"Random.Uniform(10,20)"
LRP428d,21.0905260238297,92.2128845902127,2.7,A,100885.0,432.411,bridge,"Random.Uniform(10,20)"
LRP429,21.137971899999997,92.1659167,,,,424.35,roadpoint,0
LRP429a,21.088867034104,92.213695567052,1.2,A,100881.0,432.62,bridge,"Random.Uniform(10,20)"
LRP429b,21.0869591497109,92.2148363748555,2.8,A,100883.0,432.865,bridge,"Random.Uniform(10,20)"
LRP429c,21.0864997,92.2151111,1.2,A,100875.0,432.924,bridge,"Random.Uniform(10,20)"
LRP429d,21.0844125039525,92.2159198454545,14.0,B,100873.0,433.178,bridge,"Random.Uniform(15,60)"
LRP429d,21.0844125039525,92.2159198454545,14.0,A,120512.0,433.178,bridge,"Random.Uniform(15,60)"
LRP429e,21.136888600000002,92.173916,,,,425.195,roadpoint,0
LRP429f,21.0822419459459,92.2166012177177,1.2,A,100872.0,433.441,bridge,"Random.Uniform(10,20)"
LRP430,21.136388600000004,92.1752493,,,,425.353,roadpoint,0
LRP430a,21.0804429857142,92.2174040714285,1.0,A,100871.0,433.665,bridge,"Random.Uniform(10,20)"
LRP430b,21.079224345977,92.2181232950191,1.0,A,100870.0,433.826,bridge,"Random.Uniform(10,20)"
LRP430c,21.077282565,92.2199300692307,3.0,A,100869.0,434.124,bridge,"Random.Uniform(10,20)"
LRP430d,21.0757171602316,92.2214353972973,6.1,C,100868.0,434.37,bridge,"Random.Uniform(10,20)"
LRP430e,21.1329438,92.1824438,,,,426.285,roadpoint,0
LRP431,21.1326938,92.18333299999999,,,,426.38199999999995,roadpoint,0
LRP431a,21.0741777849315,92.2222489445205,5.8,A,100867.0,434.573,bridge,"Random.Uniform(10,20)"
LRP431b,21.0724929467032,92.2235128087912,1.3,A,100865.0,434.831,bridge,"Random.Uniform(10,20)"
LRP431c,21.071231875641,92.2242923685897,5.8,B,100886.0,435.013,bridge,"Random.Uniform(10,20)"
LRP431d,21.0695363333333,92.2245687666666,7.5,C,100884.0,435.22,bridge,"Random.Uniform(10,20)"
LRP432,21.1269438,92.1902219,,,,427.38199999999995,roadpoint,0
LRP432a,21.0650398482758,92.2245345498084,1.2,A,100882.0,435.748,bridge,"Random.Uniform(10,20)"
LRP432b,21.0598736617647,92.2263822093137,30.9,C,120522.0,436.388,bridge,"Random.Uniform(15,60)"
LRP432b,21.0598736617647,92.2263822093137,30.9,B,100880.0,436.388,bridge,"Random.Uniform(15,60)"
LRP432c,21.1239993,92.1919997,,,,427.772,roadpoint,0
LRP432d,21.1229993,92.1926663,,,,427.906,roadpoint,0
LRP432e,21.122166,92.1931941,,,,428.019,roadpoint,0
LRP432f,21.1214993,92.1935552,,,,428.10400000000004,roadpoint,0
LRP433,21.1198604,92.1954719,,,,428.38699999999994,roadpoint,0
LRP433a,21.0579897631578,92.226509045614,1.2,C,100879.0,436.6,bridge,"Random.Uniform(10,20)"
LRP433b,21.0562943527173,92.2266452831521,9.4,D,120524.0,436.789,bridge,"Random.Uniform(10,20)"
LRP433b,21.0562943527173,92.2266452831521,9.4,B,100878.0,436.789,bridge,"Random.Uniform(10,20)"
LRP433c,21.0542867597222,92.2274586981481,11.8,B,100877.0,437.063,bridge,"Random.Uniform(15,60)"
LRP433c,21.0542867597222,92.2274586981481,11.8,C,120528.0,437.063,bridge,"Random.Uniform(15,60)"
LRP433d,21.0519406592592,92.2296964950617,2.8,C,100876.0,437.484,bridge,"Random.Uniform(10,20)"
LRP433e,21.115833300000002,92.19713859999999,,,,428.908,roadpoint,0
LRP433f,21.1151667,92.1975552,,,,428.995,roadpoint,0
LRP433g,21.1146111,92.1979719,,,,429.07300000000004,roadpoint,0
LRP434,21.1121111,92.2002778,,,,429.45,roadpoint,0
LRP434a,21.0508486063492,92.233513137037,1.2,C,100874.0,437.961,bridge,"Random.Uniform(10,20)"
LRP434b,21.0464598480314,92.23512063937,31.7,C,100866.0,438.506,bridge,"Random.Uniform(15,60)"
LRP434c,21.107833300000003,92.20586109999999,,,,430.24199999999996,roadpoint,0
LRP434d,21.107833300000003,92.2069444,,,,430.44,roadpoint,0
LRP435,21.1058333,92.20725,,,,430.51,roadpoint,0
LRP435a,21.0422652012594,92.2367552062972,1.2,C,100864.0,439.007,bridge,"Random.Uniform(10,20)"
LRP435b,21.0404408514814,92.2376541207407,1.2,C,100862.0,439.235,bridge,"Random.Uniform(10,20)"
LRP435c,21.0376449596296,92.2390520348148,6.2,A,100860.0,439.579,bridge,"Random.Uniform(10,20)"
LRP435d,21.101277800000002,92.20813890000001,,,,431.07300000000004,roadpoint,0
LRP435e,21.099638600000002,92.2091667,,,,431.293,roadpoint,0
LRP436,21.0975552,92.2105,,,,431.57800000000003,roadpoint,0
LRP436a,21.0340308457564,92.2407063719557,32.1,C,120531.0,440.028,bridge,"Random.Uniform(15,60)"
LRP436a,21.0340308457564,92.2407063719557,32.1,B,100858.0,440.028,bridge,"Random.Uniform(15,60)"
LRP436b,21.0939441,92.2118611,,,,432.005,roadpoint,0
LRP436c,21.0936663,92.21194440000001,,,,432.041,roadpoint,0
LRP436d,21.0923052,92.2123333,,,,432.199,roadpoint,0
LRP436e,21.090332999999998,92.2129444,,,,432.434,roadpoint,0
LRP437,21.089194100000004,92.2135,,,,432.57800000000003,roadpoint,0
LRP437a,21.0279544680791,92.2415858245762,4.4,A,100856.0,440.724,bridge,"Random.Uniform(10,20)"
LRP437b,21.0256598717703,92.2418041698564,2.9,A,100855.0,440.977,bridge,"Random.Uniform(10,20)"
LRP437c,21.0838608,92.21611109999999,,,,433.245,roadpoint,0
LRP438,21.0811104,92.2169438,,,,433.57800000000003,roadpoint,0
LRP438a,21.0198087471074,92.2428140276859,2.8,A,100853.0,441.666,bridge,"Random.Uniform(10,20)"
LRP438b,21.0173417560386,92.2438384763284,2.8,A,100927.0,441.974,bridge,"Random.Uniform(10,20)"
LRP438c,21.015929034375,92.2447567,1.9,A,100931.0,442.161,bridge,"Random.Uniform(10,20)"
LRP438d,21.0765549,92.2209993,,,,434.26300000000003,roadpoint,0
LRP438e,21.0745271,92.22205490000002,,,,434.522,roadpoint,0
LRP439,21.0735271,92.22261040000001,,,,434.668,roadpoint,0
LRP439a,21.0097686468354,92.2495377240506,45.6,C,120536.0,443.024,bridge,"Random.Uniform(15,60)"
LRP439a,21.0097686468354,92.2495377240506,45.6,B,100934.0,443.024,bridge,"Random.Uniform(15,60)"
LRP439b,21.071666,92.22422159999999,,,,434.96,roadpoint,0
LRP439c,21.0058252962264,92.252279838915,2.8,B,100937.0,443.564,bridge,"Random.Uniform(10,20)"
LRP439d,21.066888199999998,92.2246104,,,,435.522,roadpoint,0
LRP440,21.0655833,92.22455490000002,,,,435.668,roadpoint,0
LRP440a,20.9994058966292,92.2537214265168,12.5,C,100940.0,444.315,bridge,"Random.Uniform(15,60)"
LRP440b,21.063000000000002,92.2254993,,,,436.00699999999995,roadpoint,0
LRP440c,21.061555600000002,92.22627709999999,,,,436.195,roadpoint,0
LRP440d,21.059777800000003,92.2263882,,,,436.399,roadpoint,0
LRP440e,21.059666699999998,92.2263882,,,,436.414,roadpoint,0
LRP441,21.0565833,92.2266104,,,,436.756,roadpoint,0
LRP441a,20.9893582625336,92.2545712327493,29.9,C,101093.0,445.478,bridge,"Random.Uniform(15,60)"
LRP441b,21.0513611,92.2302493,,,,437.588,roadpoint,0
LRP441c,21.0513611,92.2305827,,,,437.626,roadpoint,0
LRP442,21.051305600000003,92.2317493,,,,437.751,roadpoint,0
LRP442a,20.9813317189461,92.2521134830717,1.2,C,100947.0,446.435,bridge,"Random.Uniform(10,20)"
LRP442b,21.0507222,92.2338608,,,,438.004,roadpoint,0
LRP442c,21.047944100000002,92.2346386,,,,438.332,roadpoint,0
LRP442d,21.0446941,92.2356941,,,,438.713,roadpoint,0
LRP443,21.0439163,92.2359441,,,,438.8,roadpoint,0
LRP443a,20.9790279773542,92.2512228468609,36.6,A,120541.0,446.71,bridge,"Random.Uniform(15,60)"
LRP443a,20.9790279773542,92.2512228468609,36.6,C,100951.0,446.71,bridge,"Random.Uniform(15,60)"
LRP443b,21.0363608,92.2396941,,,,439.73699999999997,roadpoint,0
LRP443c,20.9759372216027,92.2499898655052,2.8,A,100959.0,447.084,bridge,"Random.Uniform(10,20)"
LRP443d,20.9732781770034,92.2493761152148,30.4,C,120542.0,447.401,bridge,"Random.Uniform(15,60)"
LRP443d,20.9732781770034,92.2493761152148,30.4,B,100960.0,447.401,bridge,"Random.Uniform(15,60)"
LRP444,21.0338608,92.24077740000001,,,,440.04900000000004,roadpoint,0
LRP444a,20.9691570827586,92.2486529011494,1.2,A,101090.0,447.893,bridge,"Random.Uniform(10,20)"
LRP444b,20.967853415126,92.2489720949579,8.8,B,100962.0,448.054,bridge,"Random.Uniform(10,20)"
LRP444c,20.9655685949554,92.2508723928783,1.2,A,114953.0,448.391,bridge,"Random.Uniform(10,20)"
LRP444d,20.9649678916913,92.2514288706231,1.2,A,100911.0,448.481,bridge,"Random.Uniform(10,20)"
LRP444e,20.9641892820433,92.2518817702786,1.2,A,100908.0,448.581,bridge,"Random.Uniform(10,20)"
LRP445,21.0249993,92.2418608,,,,441.048,roadpoint,0
LRP445a,20.9614231446428,92.2532539928571,9.2,A,120545.0,448.926,bridge,"Random.Uniform(10,20)"
LRP445b,20.9599449953642,92.2537187390728,41.75,C,120546.0,449.101,bridge,"Random.Uniform(15,60)"
LRP445b,20.9599449953642,92.2537187390728,41.75,B,100905.0,449.101,bridge,"Random.Uniform(15,60)"
LRP445d,20.9571000129411,92.2546526588235,1.2,A,100903.0,449.439,bridge,"Random.Uniform(10,20)"
LRP446,21.0186104,92.2431386,,,,441.811,roadpoint,0
LRP446a,20.9549388422619,92.2555312529762,7.5,A,120547.0,449.7,bridge,"Random.Uniform(10,20)"
LRP446b,20.9491451322709,92.2584208880478,37.2,C,100902.0,450.446,bridge,"Random.Uniform(15,60)"
LRP446b,20.9491451322709,92.2584208880478,35.5,A,120549.0,450.446,bridge,"Random.Uniform(15,60)"
LRP446d,20.9481536869565,92.2592633282608,1.5,A,100900.0,450.599,bridge,"Random.Uniform(10,20)"
LRP447,21.010722199999996,92.2487219,,,,442.881,roadpoint,0
LRP447a,20.9470947924242,92.2597883075757,2.7,A,100899.0,450.759,bridge,"Random.Uniform(10,20)"
LRP447b,20.9458507925133,92.2603333,1.2,A,100894.0,450.943,bridge,"Random.Uniform(10,20)"
LRP447c,20.9427885228723,92.260596812234,38.6,C,100892.0,451.328,bridge,"Random.Uniform(15,60)"
LRP448,21.0029444,92.2531944,,,,443.913,roadpoint,0
LRP448a,20.93730526,92.26237497,51.0,B,100890.0,451.984,bridge,"Random.Uniform(45,90)"
LRP448b,20.998638600000003,92.2538889,,,,444.408,roadpoint,0
LRP448c,20.9324260319587,92.2636134,13.5,B,100888.0,452.561,bridge,"Random.Uniform(15,60)"
LRP448c,20.9324260319587,92.2636134,13.5,A,120558.0,452.561,bridge,"Random.Uniform(15,60)"
LRP449,20.994027399999997,92.25461109999999,,,,444.945,roadpoint,0
LRP449a,20.9318757724226,92.263712625,13.5,A,120562.0,452.624,bridge,"Random.Uniform(15,60)"
LRP449a,20.9318757724226,92.263712625,13.5,B,100887.0,452.624,bridge,"Random.Uniform(15,60)"
LRP449c,20.9303996793814,92.2639787999999,2.7,A,100926.0,452.793,bridge,"Random.Uniform(10,20)"
LRP449d,20.9281373875,92.264301196875,34.8,C,100929.0,453.05,bridge,"Random.Uniform(15,60)"
LRP449f,20.9253890280839,92.2649451585301,2.7,D,100933.0,453.372,bridge,"Random.Uniform(10,20)"
LRP450,20.985277399999998,92.25363890000001,,,,445.964,roadpoint,0
LRP450a,20.9209276456603,92.2674528079245,37.6,C,120567.0,453.95,bridge,"Random.Uniform(15,60)"
LRP450a,20.9209276456603,92.2674528079245,37.6,B,100936.0,453.95,bridge,"Random.Uniform(15,60)"
LRP450b,20.9775827,92.25061109999999,,,,446.88800000000003,roadpoint,0
LRP450c,20.9188881999999,92.26870765,1.2,A,100938.0,454.219,bridge,"Random.Uniform(10,20)"
LRP450d,20.91799614,92.2691008942857,6.0,A,120569.0,454.33,bridge,"Random.Uniform(10,20)"
LRP450e,20.9167064980392,92.2698571431372,6.0,C,120571.0,454.498,bridge,"Random.Uniform(10,20)"
LRP450e,20.9167064980392,92.2698571431372,6.0,A,100945.0,454.498,bridge,"Random.Uniform(10,20)"
LRP451,20.9769438,92.25022220000001,,,,446.964,roadpoint,0
LRP451a,20.9153707224137,92.2707239706896,1.2,B,100949.0,454.673,bridge,"Random.Uniform(10,20)"
LRP451b,20.9146350810344,92.2712067017241,2.8,A,100954.0,454.769,bridge,"Random.Uniform(10,20)"
LRP451c,20.9126751559322,92.2727211220339,33.7,A,120574.0,455.062,bridge,"Random.Uniform(15,60)"
LRP451c,20.9126751559322,92.2727211220339,34.3,B,100957.0,455.062,bridge,"Random.Uniform(15,60)"
