id,condition,lon,lat,average_delay
1694,A,92.2148363748555,21.0869591497109,0.0
1696,A,92.2151111,21.0864997,0.0
1698,A,92.2159198454545,21.0844125039525,0.0
1701,A,92.2166012177177,21.0822419459459,0.0
1704,A,92.2174040714285,21.0804429857142,0.0
1706,A,92.2181232950191,21.079224345977,0.0
1709,A,92.2199300692307,21.077282565,0.0
1711,C,92.2214353972973,21.0757171602316,0.0
1714,A,92.2222489445205,21.0741777849315,0.0
1716,A,92.2235128087912,21.0724929467032,0.0
1718,B,92.2242923685897,21.071231875641,0.0
1719,C,92.2245687666666,21.0695363333333,0.0
1722,A,92.2245345498084,21.0650398482758,0.0
1724,B,92.2263822093137,21.0598736617647,0.0
1730,C,92.226509045614,21.0579897631578,15.038198108760227
1732,D,92.2266452831521,21.0562943527173,0.0
1735,C,92.2274586981481,21.0542867597222,0.0
1736,C,92.2296964950617,21.0519406592592,15.001660787711884
1742,C,92.233513137037,21.0508486063492,0.0
1745,C,92.23512063937,21.0464598480314,0.0
1750,C,92.2367552062972,21.0422652012594,0.0
1752,C,92.2376541207407,21.0404408514814,0.0
1753,A,92.2390520348148,21.0376449596296,0.0
1758,B,92.2407063719557,21.0340308457564,0.0
1765,A,92.2415858245762,21.0279544680791,0.0
1768,A,92.2418041698564,21.0256598717703,0.0
1771,A,92.2428140276859,21.0198087471074,0.0
1774,A,92.2438384763284,21.0173417560386,0.0
1775,A,92.2447567,21.015929034375,0.0
1780,C,92.2495377240506,21.0097686468354,0.0
1784,B,92.252279838915,21.0058252962264,0.0
1787,C,92.2537214265168,20.9994058966292,0.0
1794,C,92.2545712327493,20.9893582625336,0.0
1799,C,92.2521134830717,20.9813317189461,0.0
1806,A,92.2512228468609,20.9790279773542,0.0
1809,A,92.2499898655052,20.9759372216027,0.0
1810,C,92.2493761152148,20.9732781770034,0.0
1813,A,92.2486529011494,20.9691570827586,0.0
1815,B,92.2489720949579,20.967853415126,0.0
1817,A,92.2508723928783,20.9655685949554,0.0
1818,A,92.2514288706231,20.9649678916913,0.0
1819,A,92.2518817702786,20.9641892820433,0.0
1822,A,92.2532539928571,20.9614231446428,0.0
1823,C,92.2537187390728,20.9599449953642,0.0
1825,A,92.2546526588235,20.9571000129411,0.0
1827,A,92.2555312529762,20.9549388422619,0.0
1829,A,92.2584208880478,20.9491451322709,0.0
1831,A,92.2592633282608,20.9481536869565,0.0
1834,A,92.2597883075757,20.9470947924242,0.0
1835,A,92.2603333,20.9458507925133,0.0
1837,C,92.260596812234,20.9427885228723,0.0
1840,B,92.26237497,20.93730526,0.0
1844,B,92.2636134,20.9324260319587,0.0
1847,B,92.263712625,20.9318757724226,0.0
1848,A,92.2639787999999,20.9303996793814,0.0
1849,C,92.264301196875,20.9281373875,0.0
1850,D,92.2649451585301,20.9253890280839,0.0
1852,C,92.2674528079245,20.9209276456603,0.0
1855,A,92.26870765,20.9188881999999,0.0
1856,A,92.2691008942857,20.91799614,0.0
1857,A,92.2698571431372,20.9167064980392,0.0
1859,B,92.2707239706896,20.9153707224137,0.0
1861,A,92.2712067017241,20.9146350810344,0.0
1862,B,92.2727211220339,20.9126751559322,0.0
1863,A,92.2733424008968,20.9116242986547,0.0
1864,A,92.2741396026905,20.9104284959641,0.0
1865,A,92.2745431860986,20.909823120852,0.0
1866,A,92.2747873291479,20.909456906278,0.0
1868,A,92.2756905852941,20.908032127731,0.0
1871,A,92.2760590529411,20.9074479630252,0.0
1873,A,92.2770855585365,20.9059771479674,0.0
1875,A,92.2775738958904,20.9053051369863,0.0
1877,A,92.2780768381443,20.9045718551546,0.0
1878,C,92.2786932329896,20.9036912639175,15.130389223097756
1879,B,92.2790446582524,20.9032027737864,0.0
1880,B,92.2798735897106,20.9018849327974,0.0
1883,B,92.2850607666666,20.8970988542857,0.0
1889,A,92.2879523785714,20.8950896142857,0.0
1891,B,92.2909840333333,20.892271114035,0.0
1897,B,92.2957180800539,20.8901584525606,0.0
1902,A,92.2987158890295,20.8845667240506,0.0
1904,C,92.2981629575949,20.8830704487341,15.073039326363057
1905,C,92.2977774,20.8809852229698,0.0
1970,A,91.1134175204204,23.4865823366366,0.0
1973,A,91.1065069265625,23.49375786875,0.0
1975,A,91.1059203910299,23.4963160192691,0.0
